iati_identifier,lat,long,code,level,vocabulary,name
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2020/91000,23.684994,90.356331,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2020/91000,12.238333,-1.561593,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2020/91000,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2020/91000,4.570868,-74.297333,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2020/91000,-30.559482,22.937506,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2020/91000,15.199999,-86.241905,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2020/91000,1.373333,32.290275,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2020/91000,14.058324,108.277199,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2020/91000,5.152149,46.199616,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2020/91000,19.85627,102.495496,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2020/91000,12.565679,104.990963,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2020/91000,28.394857,84.124008,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2020/91000,20.593684,78.96288,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2020/91000,17.607789,8.081666,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2020/91000,7.369722,12.354722,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2020/91000,6.611111,20.939444,,,,
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2020/91000,4.859363,31.571251,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2020/92000,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2020/92000,9.081999,8.675277,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2020/92000,7.369722,12.354722,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2020/92000,6.611111,20.939444,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2020/92023,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2020/92031,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2020/92027,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2020/92014,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2020/92013,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2020/92002,6.611111,20.939444,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2020/92002,7.369722,12.354722,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2020/92002,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2020/92042,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2020/92043,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2020/92019,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2020/92038,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2020/92047,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/92000,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/92000,7.369722,12.354722,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/92000,6.611111,20.939444,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/92037,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/92029,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/92030,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/92036,15.454166,18.732207,,,,
