iati_identifier,lat,long,code,level,vocabulary,country,name
XM-DAC-41114-OUTPUT-00111502,12.10672,15.0444,2427123,1,G1,TD,N'Djamena
XM-DAC-41114-OUTPUT-00113139,13.5,14.5,2429323,1,G1,TD,Lac Region
XM-DAC-41114-OUTPUT-00114266,12.10672,15.0444,2427123,1,G1,TD,N'Djamena
XM-DAC-41114-OUTPUT-00114420,9.14555,18.38331,2425791,1,G1,TD,Sarh
XM-DAC-41114-OUTPUT-00114420,13.78333,14.51667,2429030,1,G1,TD,Lon
XM-DAC-41114-OUTPUT-00116161,12.10672,15.0444,2427123,1,G1,TD,N'Djamena
XM-DAC-41114-OUTPUT-00118487,13.36667,14.61667,2427051,1,G1,TD,Ngalamia
XM-DAC-41114-OUTPUT-00118487,12.73162,14.67921,2428428,1,G1,TD,Mani
XM-DAC-41114-OUTPUT-00121716,13.36667,14.61667,2427051,1,G1,TD,Ngalamia
XM-DAC-41114-OUTPUT-00121716,12.73162,14.67921,2428428,1,G1,TD,Mani
