iati_identifier,source,adm1,lat,long
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92047,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92010,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92032,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92035,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92022,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92040,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92028,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2016/91007,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2016/91027,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2016/92007,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2016/92035,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2016/92025,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2016/92006,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2016/92012,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2016/92053,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2016/92057,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2016/92059,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2016/92051,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2016/92020,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2016/92032,point/pos,Borkou,15.454166,18.732207
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2016/92056,point/pos,Borkou,15.454166,18.732207
